checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
2,6,1,2,4611,1,4,1,1,0,4,1,32,0,0,1,0,1,1,0,1
2,6,1,6,1338,2,1,1,2,0,4,0,62,0,0,1,0,1,1,0,0
0,60,2,5,6836,1,0,3,0,0,4,2,63,0,0,2,0,1,0,0,1
1,24,0,0,1743,1,0,4,0,0,2,1,48,0,0,2,1,1,1,0,0
2,24,0,4,4042,0,2,3,0,0,4,1,43,0,0,2,0,1,0,0,0
2,18,0,0,1582,3,0,4,0,0,4,3,46,0,0,2,0,1,1,0,0
0,12,1,0,674,4,2,4,3,0,1,1,20,0,0,1,0,1,1,0,1
2,10,1,3,1287,0,0,4,0,2,2,1,45,0,0,1,1,1,1,1,0
2,15,1,0,1213,2,0,4,0,0,3,1,47,2,0,1,0,1,0,0,0
2,36,2,0,4454,1,1,4,1,0,4,0,34,0,0,2,0,1,1,0,0
3,24,1,2,2892,1,0,3,2,0,4,2,51,0,1,1,0,1,1,0,0
1,30,0,3,5234,1,3,4,3,0,2,3,28,0,0,2,2,1,1,0,1
1,24,2,2,2333,0,4,4,0,0,2,1,29,1,0,1,1,1,1,0,0
3,30,0,0,3656,0,0,4,0,0,4,1,49,2,0,2,1,1,1,0,0
2,21,3,3,5003,0,1,1,1,0,4,1,29,1,0,2,0,1,0,0,1
0,36,1,0,2302,1,1,4,2,0,4,3,31,0,2,1,0,1,1,0,1
3,24,1,3,947,1,2,4,0,0,3,2,38,1,1,1,0,2,1,0,1
0,18,1,1,750,1,3,4,1,0,1,0,27,0,0,1,3,1,1,0,1
2,20,0,3,3485,0,4,2,2,0,4,0,44,0,0,2,0,1,0,0,0
0,18,0,2,2124,1,1,4,1,0,4,0,24,0,2,2,0,1,1,0,1
1,9,1,5,1391,1,1,2,3,0,1,0,27,1,0,1,0,1,0,0,0
1,12,1,3,7472,0,3,1,1,0,2,0,24,0,2,1,3,1,1,0,0
1,36,1,1,12612,4,1,1,0,0,4,2,47,0,1,1,0,2,0,0,1
0,18,1,0,2600,1,1,4,0,0,4,2,65,0,1,2,0,1,1,0,1
1,9,0,1,1501,1,0,2,1,0,3,3,34,0,0,2,2,1,0,0,1
0,6,0,0,338,2,0,4,0,0,4,3,52,0,0,2,0,1,1,0,0
2,12,1,1,1393,1,0,4,0,0,4,1,47,1,0,3,0,2,0,0,0
2,12,0,2,1402,2,2,3,1,0,4,3,37,0,2,1,0,1,0,0,0
0,12,1,0,709,1,0,4,0,0,4,0,57,2,0,1,1,1,1,0,1
2,36,0,0,9566,1,1,2,1,0,2,3,31,2,0,2,0,1,1,0,0
1,36,0,0,2337,1,0,4,0,0,4,0,36,0,0,1,0,1,1,0,0
2,18,1,5,1568,4,1,3,1,0,4,1,24,0,2,1,1,1,1,0,0
2,7,0,0,730,0,0,4,0,0,2,1,46,0,2,2,1,1,0,0,0
2,12,0,5,1264,0,0,4,0,0,4,2,57,0,2,1,1,1,1,0,0
2,18,3,5,4165,1,1,2,0,0,2,3,36,2,0,2,0,2,1,0,1
0,36,1,2,2712,1,0,2,0,0,2,1,41,1,0,1,0,2,1,0,1
0,12,1,0,2214,1,1,4,0,0,3,1,24,0,0,1,1,1,1,0,0
2,18,0,0,629,2,0,4,0,0,3,1,32,1,0,2,2,1,0,0,0
2,36,1,1,9055,0,1,2,0,0,4,2,35,0,1,1,1,2,0,0,0
2,15,0,4,3368,3,0,3,0,0,4,2,23,0,2,2,0,1,0,0,0
2,12,1,0,3077,1,1,2,0,0,4,3,52,0,0,1,0,1,0,0,0
1,21,0,5,3652,1,2,2,0,0,3,1,27,0,0,2,0,1,1,0,0
0,18,1,2,3650,1,4,1,1,0,4,3,22,0,2,1,0,1,1,0,0
1,15,0,0,1537,0,0,4,0,1,4,0,50,0,0,2,0,1,0,0,0
2,6,1,1,1538,1,4,1,1,0,2,2,56,0,0,1,0,1,1,0,0
0,12,1,9,902,1,2,4,3,0,4,1,21,0,2,1,0,1,1,0,1
2,18,0,0,1800,1,1,4,0,0,2,3,24,0,0,2,0,1,1,0,0
2,12,0,0,522,2,0,4,0,0,4,1,42,0,0,2,0,2,0,0,0
0,18,0,7,1190,1,3,2,1,0,4,2,55,0,1,3,3,2,1,0,1
2,24,1,0,3430,2,0,3,0,0,2,3,31,0,0,1,0,2,0,0,0
1,13,1,0,2101,1,4,2,1,1,4,1,23,0,0,1,1,1,1,0,0
0,12,0,3,3499,1,1,3,1,2,2,0,29,0,0,2,0,1,1,0,1
0,48,1,3,7763,1,0,4,0,0,4,2,42,1,1,1,2,1,1,0,1
2,15,1,3,5324,2,0,1,1,0,4,2,35,0,1,1,0,1,1,0,0
3,6,1,2,2116,1,1,2,0,0,2,0,41,0,0,1,0,1,0,0,0
3,18,1,2,3049,1,4,1,1,0,1,1,45,2,0,1,1,1,1,0,0
1,18,0,2,1928,1,4,2,0,0,2,0,31,0,0,2,1,1,1,0,1
0,24,0,3,1199,1,0,4,0,0,4,3,60,0,0,2,1,1,1,0,1
1,7,1,0,2576,1,1,2,0,1,2,0,35,0,0,1,0,1,1,0,0
1,9,1,1,1199,1,2,4,1,0,4,1,67,0,0,2,2,1,0,0,0
1,24,1,3,2718,1,1,3,1,0,4,1,20,0,2,1,1,1,0,0,1
0,18,0,0,1880,1,2,4,3,0,1,1,32,0,0,2,2,1,0,0,0
2,18,0,0,2238,1,1,2,1,0,1,3,25,0,0,2,0,1,1,0,0
2,15,2,4,3594,1,4,1,1,0,2,1,46,0,0,2,1,1,1,0,0
2,10,1,0,1924,1,1,1,0,0,4,1,38,0,0,1,0,1,0,1,0
0,24,1,0,1987,1,1,2,0,0,4,0,21,0,2,1,1,2,1,0,1
1,9,1,0,1206,1,0,4,1,0,4,0,25,0,0,1,0,1,1,0,0
3,9,1,0,1126,4,0,2,2,0,4,0,49,0,0,1,0,1,1,0,0
2,18,1,0,1505,1,1,4,0,0,2,2,32,0,1,1,2,1,0,0,0
0,24,0,4,2957,1,0,4,0,0,4,1,63,0,0,2,0,1,0,0,0
1,15,0,0,2728,0,2,4,0,1,2,0,35,1,0,3,0,1,0,0,0
0,12,0,4,1526,1,0,4,0,0,4,2,66,0,1,2,2,1,1,0,0
2,30,0,0,2831,1,1,4,1,0,2,3,33,0,0,1,0,1,0,0,0
1,13,0,0,882,1,4,4,0,1,4,0,23,0,0,2,0,1,1,0,0
2,24,0,0,2578,3,0,2,0,0,2,3,34,0,0,1,0,1,1,0,0
0,36,1,3,9271,1,2,2,0,0,1,3,24,0,0,1,0,1,0,0,1
0,24,1,4,2910,1,2,2,0,0,1,2,34,0,1,1,2,1,0,0,0
2,24,0,0,2424,0,0,4,0,0,4,1,53,0,0,2,0,1,1,0,0
2,24,0,0,2684,1,1,4,0,0,2,0,35,0,0,2,1,1,1,0,0
2,12,0,0,976,0,0,4,0,0,4,3,35,0,0,2,0,1,1,0,0
2,28,0,0,2743,1,0,4,0,0,2,3,29,0,0,2,0,1,1,0,0
2,12,0,1,2012,0,2,4,1,0,2,3,61,0,0,1,0,1,1,0,0
2,15,0,2,3343,1,1,4,0,0,2,2,28,0,1,1,0,1,0,0,0
2,12,0,0,1291,1,1,4,1,0,2,1,35,0,0,2,0,1,1,0,0
1,30,1,3,2150,1,1,4,1,1,2,2,24,1,0,1,0,1,1,0,1
2,11,0,3,7228,1,1,1,0,0,4,1,39,0,0,2,1,1,1,0,0
2,54,3,4,9436,0,1,2,0,0,2,1,39,0,0,1,1,2,1,0,0
0,24,4,2,2483,2,1,4,0,0,4,0,22,2,0,1,0,1,0,0,0
2,12,2,4,1503,1,1,4,3,0,4,0,41,0,2,1,0,1,1,0,0
0,48,1,4,10297,1,2,4,0,0,4,2,39,2,1,3,0,2,0,0,1
2,6,4,3,783,0,1,1,0,1,2,0,26,2,0,1,1,2,1,0,0
1,30,0,3,2181,0,0,4,0,0,4,0,36,0,0,2,0,1,1,0,0
1,27,2,4,5965,1,0,1,0,0,2,3,30,0,0,2,2,1,0,0,0
1,24,0,5,1935,1,0,4,2,0,4,0,31,0,0,2,0,1,0,0,1
1,30,1,0,2991,0,0,2,1,0,4,3,25,0,0,1,0,1,1,0,0
0,15,1,2,1845,1,4,4,1,1,1,1,46,0,2,1,0,1,1,0,0
2,12,1,3,1884,1,0,4,0,0,4,3,39,0,0,1,2,1,0,0,0
2,15,1,2,2186,0,2,1,1,0,4,0,33,1,2,1,1,1,1,0,0
0,18,3,5,3104,1,2,3,0,0,1,1,31,1,0,1,0,1,0,0,0
2,39,1,4,8588,4,0,4,0,0,2,3,45,0,0,1,2,1,0,0,0
0,12,0,0,385,1,2,4,1,0,3,0,58,0,0,4,1,1,0,0,0
1,12,0,3,958,1,2,2,0,0,3,0,47,0,0,2,1,2,1,0,0
2,6,1,7,660,2,2,2,3,0,4,0,23,0,2,1,1,1,1,0,0
3,12,1,0,1297,1,1,3,3,0,4,0,23,0,2,1,0,1,1,0,0
1,18,1,2,3001,1,2,2,1,0,4,0,40,0,2,1,0,1,1,0,0
1,9,4,3,1437,4,2,2,0,0,3,2,29,0,0,1,0,1,1,0,1
0,36,1,2,3620,1,1,1,0,1,2,1,37,0,0,1,0,2,1,0,0
1,30,1,2,3832,1,4,2,3,0,1,1,22,0,0,1,0,1,1,0,0
0,6,1,0,2647,2,1,2,0,0,3,0,44,0,2,1,0,2,1,0,0
0,27,1,0,3416,1,1,3,0,0,2,3,27,0,0,1,2,1,1,0,0
1,24,1,4,2760,0,0,4,0,0,4,2,36,1,1,1,0,1,0,0,0
2,36,1,2,10974,1,3,4,1,0,2,3,26,0,0,2,2,1,0,0,1
2,21,1,0,3160,0,0,4,0,0,3,1,41,0,0,1,0,1,0,0,0
1,9,1,3,1549,0,4,4,0,0,2,0,35,0,0,1,3,1,1,0,0
2,6,0,0,1382,1,1,1,1,0,1,3,28,0,0,2,0,1,0,0,0
2,36,1,0,2299,2,0,4,0,0,4,3,39,0,0,1,0,1,1,0,0
2,10,1,2,2210,1,1,2,0,0,2,0,25,1,2,1,1,1,1,0,1
3,9,1,0,745,1,1,3,1,0,2,0,28,0,0,1,1,1,1,0,1
1,48,1,3,8487,0,2,1,1,0,2,3,24,0,0,1,0,1,1,0,0
1,18,1,0,3213,2,4,1,3,0,3,0,25,0,2,1,0,1,1,0,0
0,18,1,3,976,1,4,1,1,0,2,3,23,0,0,1,1,1,1,0,1
2,15,0,0,1471,1,1,4,0,0,4,2,35,0,1,2,0,1,0,0,0
0,24,1,2,3149,1,4,4,0,0,1,2,22,1,1,1,0,1,1,0,0
0,24,1,3,1371,0,1,4,1,0,4,0,25,0,2,1,0,1,1,0,1
1,18,0,2,3612,1,0,3,1,0,4,1,37,0,0,1,0,1,0,0,0
2,12,0,0,1934,1,0,2,0,0,2,2,26,0,0,2,0,1,1,0,0
2,12,1,0,2073,4,1,4,1,2,2,0,28,0,0,1,0,1,1,0,0
2,18,0,3,1055,1,4,4,1,0,1,1,30,0,0,2,0,1,1,0,0
3,12,1,2,1424,0,0,3,1,0,4,0,55,0,0,1,2,1,0,0,0
2,24,1,0,1533,1,4,4,1,0,3,3,38,2,0,1,0,1,0,0,0
0,14,1,3,3973,1,3,1,0,0,4,2,22,0,1,1,0,1,1,0,0
2,18,1,2,3422,1,0,4,0,0,4,1,47,1,0,3,0,2,0,0,0
2,24,2,3,2538,1,0,4,0,0,4,3,47,0,0,2,1,2,1,0,1
1,18,1,4,2779,1,1,1,3,0,3,3,21,0,2,1,0,1,0,0,0
0,24,1,2,4020,1,1,2,0,0,2,3,27,2,0,1,0,1,1,0,0
2,6,0,3,6761,1,2,1,0,0,3,2,45,0,0,2,2,2,0,0,0
2,11,0,3,1393,1,4,4,1,0,4,3,35,0,0,2,2,1,1,0,0
2,4,1,2,601,1,4,1,1,0,3,0,23,0,2,1,1,2,1,0,0
1,6,1,0,753,1,1,2,1,1,3,0,64,0,0,1,0,1,1,0,0
1,18,0,0,1245,1,1,4,3,0,2,3,33,0,0,1,0,1,1,0,1
2,24,0,4,2346,1,2,4,0,0,3,3,35,0,0,2,0,1,0,0,0
0,9,1,0,1366,1,4,3,1,0,4,1,22,0,2,1,0,1,1,0,1
2,18,1,4,3378,0,1,2,0,0,1,1,31,0,0,1,0,1,0,0,0
3,18,4,0,1445,0,2,4,0,0,4,3,49,1,0,1,1,1,1,0,0
2,24,1,3,3757,1,0,4,1,2,4,2,62,0,1,1,0,1,0,0,0
1,24,0,3,3878,4,4,4,2,0,2,3,37,0,0,1,0,1,0,0,0
0,24,0,5,1382,4,2,4,0,0,1,0,26,0,0,2,0,1,0,0,0
2,48,1,0,10222,0,2,4,0,0,3,3,37,2,0,1,0,1,0,0,0
0,12,0,3,2121,1,1,4,0,0,2,1,30,0,0,2,0,1,1,0,0
2,24,0,0,5103,1,4,3,3,0,3,2,47,0,1,3,0,1,0,0,0
1,60,1,3,14027,1,2,4,0,0,2,2,27,0,0,1,2,1,0,0,1
2,12,0,5,1185,1,1,3,1,0,2,0,27,0,0,2,0,1,1,0,0
2,12,0,1,3565,0,4,2,0,0,1,1,37,0,0,2,1,2,1,0,0
1,18,1,5,2622,4,1,4,0,0,4,3,34,0,0,1,0,1,1,0,0
2,9,1,3,3577,4,1,1,0,1,2,0,26,0,2,1,0,2,1,1,0
2,12,1,2,1736,1,2,3,1,0,4,0,31,0,0,1,1,1,1,0,0
3,6,0,1,1047,1,1,2,1,0,4,1,50,0,0,1,1,1,1,0,0
2,15,1,6,1262,2,2,4,0,0,3,1,36,0,0,2,0,1,0,0,0
2,30,4,4,7485,0,3,4,1,0,1,0,53,1,0,1,2,1,0,0,1
2,12,1,3,1386,2,1,2,1,0,2,1,26,0,0,1,0,1,1,0,1
0,24,4,2,2828,2,1,4,0,0,4,0,22,2,0,1,0,1,0,0,0
0,12,1,3,1893,1,1,4,1,1,4,1,29,0,0,1,0,1,0,0,0
2,18,2,5,2169,1,1,4,3,0,2,3,28,0,0,1,0,1,0,0,1
3,15,1,5,2687,1,2,2,0,0,4,1,26,0,2,1,0,1,0,0,0
0,15,2,2,3643,1,0,1,1,0,4,1,27,0,0,2,1,1,1,0,0
0,12,4,0,626,1,1,4,1,0,4,0,24,1,0,1,1,1,1,0,1
0,12,3,3,1082,1,1,4,0,0,4,3,48,1,0,2,0,1,1,0,1
2,18,1,0,2051,1,4,4,0,0,1,0,33,0,0,1,0,1,1,0,0
2,30,2,5,4272,4,1,2,0,0,2,1,26,0,0,2,1,1,1,0,0
3,12,1,3,1330,1,4,4,0,0,1,0,26,0,0,1,0,1,1,0,0
0,21,1,0,1835,1,1,3,1,0,2,0,25,0,0,2,0,1,0,0,1
2,24,1,4,3488,4,2,3,1,0,4,3,23,0,0,1,0,1,1,0,0
1,30,1,0,1715,0,1,4,1,0,1,3,26,0,0,1,0,1,1,0,0
1,42,4,4,9283,1,3,1,0,0,2,2,55,1,1,1,2,1,0,0,0
1,12,1,0,625,1,4,4,3,1,1,0,26,1,0,1,1,1,1,0,0
2,60,0,3,13756,0,0,2,0,0,4,2,63,1,1,1,2,1,0,0,0
1,21,1,5,1188,1,0,2,1,0,4,1,39,0,0,1,0,2,1,0,1
2,18,1,3,6761,0,1,2,0,0,4,3,68,0,2,2,0,1,1,0,1
2,24,0,2,1585,1,2,4,0,0,3,1,40,0,0,2,0,1,1,0,0
2,10,0,2,2146,1,4,1,1,0,3,0,23,0,2,2,0,1,1,0,0
2,12,1,3,2859,0,3,4,0,0,4,2,38,0,0,1,2,1,0,0,0
1,36,4,6,3990,0,4,3,1,0,2,2,29,1,0,1,3,1,1,0,0
1,18,1,5,1941,3,1,4,0,0,2,1,35,0,0,1,1,1,0,0,0
0,15,3,3,950,1,0,4,0,0,3,3,33,0,2,2,0,2,1,0,1
0,12,0,2,2246,1,0,3,0,0,3,1,60,0,0,2,0,1,1,0,1
2,15,1,4,3029,1,2,2,0,0,2,3,33,0,0,1,0,1,1,0,0
1,18,2,3,2899,0,0,4,0,0,4,3,43,0,0,1,0,2,1,0,0
1,60,2,0,9157,0,1,2,0,0,2,2,27,0,1,1,2,1,1,0,0
0,40,0,1,5998,1,1,4,0,0,3,2,27,1,0,1,0,1,0,0,1
2,12,0,7,996,0,2,4,1,0,4,0,23,0,0,2,0,1,1,0,0
2,48,0,4,8858,0,2,2,0,0,1,2,35,0,1,2,0,1,0,0,0
0,12,1,2,2577,1,1,2,2,0,1,3,42,0,0,1,0,1,1,0,0
2,4,0,3,1455,1,2,2,0,0,1,0,42,0,0,3,1,2,1,0,0
1,12,1,7,639,1,1,4,0,0,2,3,30,0,0,1,0,1,1,0,1
0,36,1,4,8335,0,0,3,0,0,4,2,47,0,1,1,0,1,1,0,1
0,15,0,2,1478,1,0,4,0,0,4,3,44,0,0,2,0,2,0,0,0
3,15,1,0,2327,1,4,2,1,0,3,0,25,0,0,1,1,1,1,0,1
3,10,1,6,1225,1,1,2,0,0,2,3,37,0,0,1,0,1,0,0,0
1,9,1,2,2030,0,2,2,0,0,1,3,24,0,0,1,0,1,0,0,0
1,24,0,1,5743,1,4,2,1,0,4,2,24,0,1,2,0,1,0,0,0
0,18,1,2,2039,1,1,1,1,0,4,0,20,1,2,1,0,1,1,0,1
1,18,3,2,3244,1,1,1,1,0,4,3,33,1,0,2,0,1,0,0,0
3,12,1,2,1474,1,4,4,1,0,1,1,33,1,0,1,2,1,0,0,0
1,24,1,3,1246,1,4,4,0,0,2,0,23,2,0,1,1,1,1,0,1
2,12,1,0,3059,3,2,2,2,0,4,0,61,0,0,1,1,1,1,0,0
0,24,1,2,3021,1,1,2,2,0,2,0,24,0,2,1,1,1,1,0,0
0,48,1,0,6758,1,1,3,1,0,2,3,31,0,0,1,0,1,0,0,1
2,30,0,0,6742,0,2,2,0,0,3,1,36,0,0,2,0,1,1,0,0
2,36,0,5,6304,0,0,4,0,0,4,0,36,0,0,2,0,1,1,0,0
2,12,0,0,618,1,0,4,0,0,4,0,56,0,0,1,0,1,1,0,0
0,18,4,3,1442,1,2,4,0,0,4,2,32,0,1,2,1,2,1,0,1
1,24,1,0,5084,0,0,2,1,0,4,3,42,0,0,1,0,1,0,0,0
3,36,1,0,4473,1,0,4,0,0,2,3,31,0,0,1,0,1,1,0,0
2,9,1,5,1449,1,2,3,1,0,2,3,27,0,0,2,0,1,1,0,0
3,21,1,3,2923,4,1,1,1,0,1,3,28,1,0,1,2,1,0,0,0
3,30,0,0,3017,1,0,4,0,0,4,1,47,0,0,1,0,1,1,0,0
0,42,0,7,3394,1,3,4,0,2,4,3,65,0,0,2,3,1,1,0,0
1,24,1,0,1967,1,0,4,1,0,4,3,20,0,0,1,0,1,0,0,0
1,24,1,4,4113,2,4,3,1,0,4,3,28,0,2,1,0,1,1,0,1
2,24,0,5,4139,4,1,3,0,0,3,1,27,0,0,2,1,1,0,0,0
1,12,1,0,1103,1,2,4,0,1,3,0,29,0,0,2,0,1,1,1,0
1,6,1,3,14555,0,3,1,0,0,2,1,23,0,0,1,3,1,0,0,1
1,48,4,5,6416,1,0,4,1,0,3,2,59,0,2,1,0,1,1,0,1
1,24,1,3,1201,1,4,4,0,0,1,1,26,0,0,1,0,1,1,0,0
0,24,2,3,1333,1,3,4,0,0,2,0,43,0,1,2,0,2,1,0,1
1,54,3,5,15945,1,4,3,0,0,4,2,58,0,2,1,0,1,0,0,1
0,24,1,3,1207,1,4,4,1,0,4,1,24,0,2,1,0,1,1,0,1
1,15,1,0,802,1,0,4,0,0,3,3,37,0,0,1,0,2,1,0,1
1,18,0,3,1056,1,0,3,0,1,3,0,30,1,0,2,0,1,1,0,1
2,36,2,3,10875,1,0,2,0,0,2,3,45,0,0,2,0,2,0,0,0
2,12,0,0,797,0,0,4,1,0,3,1,33,1,0,1,1,2,1,0,1
2,15,4,0,1569,4,0,4,0,0,4,3,34,1,0,1,1,2,1,0,0
2,33,2,5,2764,1,1,2,1,0,2,3,26,0,0,2,0,1,0,0,0
2,24,1,2,3062,2,0,4,0,0,3,2,32,0,2,1,0,1,0,0,0
0,24,1,4,2812,0,0,2,1,0,4,0,26,0,2,1,0,1,1,0,0
1,48,2,5,6681,0,1,4,0,0,4,2,38,0,1,1,0,2,0,0,0
2,24,0,5,4526,1,1,3,0,0,2,0,74,0,0,1,2,1,0,0,0
2,24,0,4,6842,0,1,2,0,0,4,1,46,0,0,2,2,2,0,0,0
2,12,0,0,1655,1,0,2,0,0,4,0,63,0,0,2,1,1,0,0,0
2,24,1,4,5433,0,3,2,1,0,4,1,26,0,2,1,2,1,0,0,0
0,60,1,5,7297,1,0,4,0,2,4,2,36,0,2,1,0,1,1,0,1
1,60,2,0,7418,0,1,1,0,0,1,0,27,0,0,1,1,1,1,0,0
1,48,1,0,10961,3,2,1,0,2,2,2,27,1,0,2,0,1,0,0,1
1,60,1,1,6288,1,1,4,0,0,4,2,42,0,1,1,0,1,1,0,1
1,39,2,1,11760,4,2,2,0,0,3,2,32,0,2,1,0,1,0,0,0
2,24,1,0,2284,1,2,4,0,0,2,3,28,0,0,1,0,1,0,0,0
2,36,2,5,9572,1,4,1,2,0,1,3,28,0,0,2,0,1,1,0,1
2,24,1,0,2397,2,0,3,0,0,2,3,35,1,0,2,0,1,0,0,1
2,24,0,3,1940,3,0,4,0,0,4,0,60,0,0,1,0,1,0,0,0
2,48,0,1,6110,1,1,1,0,0,3,2,31,1,1,1,0,1,0,0,0
1,12,1,2,983,3,4,1,1,0,4,0,19,0,2,1,1,1,1,0,0
2,12,0,3,926,1,3,1,1,0,2,1,38,0,0,1,3,1,1,0,0
2,10,1,3,1309,0,1,4,0,1,4,1,27,0,0,1,1,1,1,0,1
0,9,0,0,1138,1,1,4,0,0,4,0,25,0,0,2,1,1,1,0,0
0,12,1,3,1372,1,2,2,2,0,3,3,36,0,0,1,0,1,1,0,1
0,12,0,3,4843,1,0,3,0,2,4,1,43,0,2,2,0,1,0,0,1
2,11,1,5,2142,3,0,1,2,0,2,0,28,0,0,1,0,1,0,0,0
0,12,4,9,339,1,0,4,3,0,1,3,45,1,0,1,1,1,1,0,0
1,27,1,5,3915,1,1,4,0,0,2,3,36,0,0,1,0,2,0,0,1
2,12,1,2,1123,2,1,4,1,0,4,3,29,0,2,1,1,1,1,0,1
0,27,0,5,2442,1,0,4,0,0,4,3,43,2,0,4,2,2,0,0,0
1,36,1,3,12389,0,1,1,0,0,4,2,37,0,1,1,0,1,0,0,1
3,12,4,5,609,1,4,4,1,0,1,0,26,0,0,1,3,1,1,0,1
2,15,0,0,1459,1,1,4,1,0,2,3,43,0,0,1,1,1,1,0,0
2,30,0,0,5954,1,2,3,0,2,2,3,38,0,0,1,0,1,1,0,0
1,6,1,0,368,0,0,4,0,0,4,1,38,0,0,1,0,1,1,0,0
1,12,1,0,1331,1,4,2,0,0,1,3,22,2,0,1,0,1,1,0,1
2,6,2,5,1743,4,1,1,0,0,2,0,34,0,0,2,1,1,1,0,0
2,30,0,4,7596,0,0,1,0,0,4,3,63,0,0,2,0,1,1,0,0
2,12,1,0,2171,1,4,2,1,0,2,3,29,1,0,1,0,1,1,0,0
2,15,1,0,1979,0,0,4,0,0,2,3,35,0,0,1,0,1,1,0,0
2,18,0,0,1149,3,1,4,0,0,3,0,46,0,0,2,0,1,1,0,0
2,12,3,2,2759,1,0,2,0,0,4,1,34,0,0,2,0,1,1,0,0
2,4,0,3,3380,1,2,1,1,0,1,0,37,0,0,1,0,2,1,0,0
1,10,1,2,1521,1,1,4,2,0,2,3,31,0,0,1,1,1,1,0,0
1,18,1,3,5866,4,1,2,0,0,2,3,30,0,0,2,0,1,0,0,0
0,6,1,2,428,1,0,2,1,0,1,1,49,1,0,1,0,1,0,0,0
2,12,0,0,1240,0,0,4,1,0,2,0,38,0,0,2,0,1,0,0,0
1,48,3,5,12204,0,1,2,0,0,2,3,48,1,0,1,2,1,0,0,0
1,24,2,3,1965,0,1,4,1,0,4,3,42,0,2,2,0,1,0,0,0
0,24,4,2,3349,2,4,4,0,0,4,2,30,0,1,1,0,2,0,0,1
2,36,1,5,7409,0,0,3,0,0,2,1,37,0,0,2,0,1,1,0,0
0,21,4,3,1647,0,1,4,0,0,2,1,40,0,0,2,1,2,1,0,1
2,12,0,1,701,1,1,4,0,0,2,3,32,0,0,2,0,1,1,0,0
2,10,1,3,1364,1,1,2,1,0,4,3,64,0,0,1,0,1,0,0,0
2,12,1,0,886,0,1,4,1,0,2,3,21,0,0,1,0,1,1,0,0
2,30,1,0,2333,2,0,4,0,0,2,3,30,1,0,1,2,1,1,0,0
3,10,1,2,1275,1,4,4,1,0,2,1,23,0,0,1,0,1,1,0,0
0,10,0,3,1038,1,2,4,0,2,3,1,49,0,0,2,0,1,0,0,0
2,10,1,3,1597,2,1,3,0,0,2,2,40,0,2,1,1,2,1,1,0
2,36,1,5,5742,4,2,2,0,0,2,3,31,0,0,2,0,1,0,0,0
1,12,1,0,1092,1,1,4,1,1,4,0,49,0,0,2,0,1,0,0,0
0,12,1,4,3386,1,0,3,0,0,4,2,35,0,1,1,0,1,0,0,1
2,60,1,0,10144,4,2,2,1,0,4,0,21,0,0,1,0,1,0,0,0
1,48,0,2,5096,1,1,2,1,0,3,3,30,0,0,1,2,1,0,0,1
1,18,3,3,2278,4,4,3,1,0,3,3,28,0,0,2,0,1,1,0,1
0,12,0,4,1409,1,0,4,0,0,3,0,54,0,0,1,0,1,1,0,0
2,48,1,5,3914,0,1,4,2,0,2,0,38,1,0,1,0,1,1,0,1
2,24,1,3,2255,0,4,4,0,0,1,1,54,0,0,1,0,1,1,0,0
1,15,3,3,1778,1,4,2,1,0,1,0,26,0,2,2,3,1,1,0,1
